"filename", "language", "Vue", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"d:\projectCode\lianjiang\.eslintrc.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 1, 24
"d:\projectCode\lianjiang\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\projectCode\lianjiang\babel.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\projectCode\lianjiang\jsconfig.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 12, 0, 20
"d:\projectCode\lianjiang\package-lock.json", "JSON", 0, 0, 22231, 0, 0, 0, 0, 1, 22232
"d:\projectCode\lianjiang\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 1, 44
"d:\projectCode\lianjiang\public\index.html", "HTML", 0, 0, 0, 0, 0, 23, 1, 1, 25
"d:\projectCode\lianjiang\src\App.vue", "Vue", 49, 0, 0, 0, 0, 0, 5, 6, 60
"d:\projectCode\lianjiang\src\api\file.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\projectCode\lianjiang\src\api\forecast.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\projectCode\lianjiang\src\api\graphs.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\projectCode\lianjiang\src\api\login.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\projectCode\lianjiang\src\api\map.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\projectCode\lianjiang\src\api\register.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\projectCode\lianjiang\src\assets\data.js", "JavaScript", 0, 44002, 0, 0, 0, 0, 0, 1, 44003
"d:\projectCode\lianjiang\src\assets\level.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 1, 118
"d:\projectCode\lianjiang\src\assets\mdfile.md", "Markdown", 0, 0, 0, 0, 59, 0, 0, 32, 91
"d:\projectCode\lianjiang\src\components\backStage\data.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projectCode\lianjiang\src\components\backStage\file.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projectCode\lianjiang\src\components\backStage\log.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projectCode\lianjiang\src\components\backStage\map.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projectCode\lianjiang\src\components\backStage\user.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projectCode\lianjiang\src\components\fortcase\form.vue", "Vue", 59, 0, 0, 0, 0, 0, 0, 5, 64
"d:\projectCode\lianjiang\src\components\fortcase\graph.vue", "Vue", 197, 0, 0, 0, 0, 0, 9, 8, 214
"d:\projectCode\lianjiang\src\components\fortcase\program1.vue", "Vue", 102, 0, 0, 0, 0, 0, 0, 3, 105
"d:\projectCode\lianjiang\src\components\fortcase\program2.vue", "Vue", 77, 0, 0, 0, 0, 0, 0, 3, 80
"d:\projectCode\lianjiang\src\components\graphs\bar.vue", "Vue", 256, 0, 0, 0, 0, 0, 10, 3, 269
"d:\projectCode\lianjiang\src\components\graphs\card.vue", "Vue", 27, 0, 0, 0, 0, 0, 0, 3, 30
"d:\projectCode\lianjiang\src\components\graphs\line.vue", "Vue", 117, 0, 0, 0, 0, 0, 8, 4, 129
"d:\projectCode\lianjiang\src\components\graphs\lines.vue", "Vue", 64, 0, 0, 0, 0, 0, 0, 3, 67
"d:\projectCode\lianjiang\src\components\graphs\pie.vue", "Vue", 208, 0, 0, 0, 0, 0, 6, 3, 217
"d:\projectCode\lianjiang\src\components\graphs\selector.vue", "Vue", 305, 0, 0, 0, 0, 0, 9, 5, 319
"d:\projectCode\lianjiang\src\components\graphs\sidebar.vue", "Vue", 361, 0, 0, 0, 0, 0, 9, 16, 386
"d:\projectCode\lianjiang\src\components\header\Header.vue", "Vue", 125, 0, 0, 0, 0, 0, 0, 3, 128
"d:\projectCode\lianjiang\src\components\header\LoginTag.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\projectCode\lianjiang\src\components\header\LogoutTag.vue", "Vue", 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\projectCode\lianjiang\src\components\header\WelcomeTag.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\projectCode\lianjiang\src\components\load\DownLoad.vue", "Vue", 90, 0, 0, 0, 0, 0, 6, 4, 100
"d:\projectCode\lianjiang\src\components\load\UpLoad.vue", "Vue", 146, 0, 0, 0, 0, 0, 5, 5, 156
"d:\projectCode\lianjiang\src\components\mapOverlay\MyOverlay.vue", "Vue", 97, 0, 0, 0, 0, 0, 0, 8, 105
"d:\projectCode\lianjiang\src\main.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\projectCode\lianjiang\src\router\index.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 8, 71
"d:\projectCode\lianjiang\src\store.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"d:\projectCode\lianjiang\src\util\eventBus.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2, 4
"d:\projectCode\lianjiang\src\util\request.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 3, 8
"d:\projectCode\lianjiang\src\views\BackStage.vue", "Vue", 48, 0, 0, 0, 0, 0, 0, 4, 52
"d:\projectCode\lianjiang\src\views\File.vue", "Vue", 74, 0, 0, 0, 0, 0, 0, 3, 77
"d:\projectCode\lianjiang\src\views\Forecast.vue", "Vue", 29, 0, 0, 0, 0, 0, 0, 3, 32
"d:\projectCode\lianjiang\src\views\Graph.vue", "Vue", 54, 0, 0, 0, 0, 0, 0, 3, 57
"d:\projectCode\lianjiang\src\views\Login.vue", "Vue", 424, 0, 0, 0, 0, 0, 0, 12, 436
"d:\projectCode\lianjiang\src\views\Map.vue", "Vue", 237, 0, 0, 0, 0, 0, 0, 4, 241
"d:\projectCode\lianjiang\src\views\Register.vue", "Vue", 268, 0, 0, 0, 0, 0, 0, 5, 273
"d:\projectCode\lianjiang\src\views\Welcome.vue", "Vue", 133, 0, 0, 0, 0, 0, 0, 10, 143
"d:\projectCode\lianjiang\vue.config.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 1, 20
"Total", "-", 3583, 44315, 22274, 8, 78, 23, 80, 217, 70578